id,name,set_number,picture,theme_id,,,,
1,Gears,001-1,,1,,,,
2,Town Mini-Figures,0011-2,,84,,,,
3,Castle 2 for 1 Bonus Offer,0011-3,,199,,,,
4,Space Mini-Figures,0012-1,,143,,,,
5,Space Mini-Figures,0013-1,,143,,,,
6,Space Mini-Figures,0014-1,,143,,,,
7,Space Mini-Figures,0015-1,,143,,,,
8,Castle Mini Figures,0016-1,,186,,,,
9,4.5V Samsonite Gears Motor Set,002-1,,1,,,,
10,Master Mechanic Set,003-1,,366,,,,
11,Basic Building Set in Cardboard,005-1,,366,,,,
12,Discovery Set,005-2,,366,,,,
13,Special Offer,00-6,,67,,,,
14,Basic Building Set in Cardboard,010-1,,366,,,,
15,Basic Building Set,010-3,,366,,,,
16,Basic Building Set,011-1,,366,,,,
17,Wheel Set,021-1,,366,,,,
18,Basic Building Set,022-1,,366,,,,
19,Ninjago: Build Your Own Adventure,0241187567-1,,497,,,,
20,DC Super Heroes: Character Encyclopedia,0241199312-1,,497,,,,
21,Star Wars Build Your Own Adventure: Galactic Missions,0241357594-1,,497,,,,
22,Nursery Furniture,028-1,,652,,,,
23,Building Set,030-2,,505,,,,
24,The Race to Build It Board Game,03093-1,,502,,,,
25,Living Room,032-1,,652,,,,
26,Farm Animals,033-1,,632,,,,
27,Basic Building Set,033-2,,366,,,,
28,Pre-School Beginners Set,041-1,,440,,,,
29,Playhouse,041-2,,652,,,,
30,Jumbo Brick Pull Toy,042-1,,440,,,,
31,Basic Building Set,044-1,,366,,,,
32,Jumbo Bricks,044-2,,440,,,,
33,Farm,045-1,,632,,,,
34,Assorted Clear Bricks & Plates,045-2,,371,,,,
35,Lighting Device Pack,050-2,,371,,,,
36,Assorted Basic Bricks - Red,051-1,,371,,,,
37,Assorted Basic Bricks - White,052-1,,371,,,,
38,Assorted Basic Bricks - Blue,053-1,,371,,,,
39,Assorted Basic Bricks - Yellow,054-1,,371,,,,
40,Trees & Bushes,055-1,,371,,,,
41,Basic Building Set,055-2,,366,,,,
42,Large Wheels,057-1,,371,,,,
43,Small Wheels,058-1,,371,,,,
44,Assorted White Plates,060-1,,371,,,,
45,Jumbo Brick School Set,060-3,,440,,,,
46,Five Large Base Plates - Green,061-1,,371,,,,
47,Five Large Base Plates - White,062-1,,371,,,,
48,Five Large Base Plates - Blue,063-1,,371,,,,
49,Ducks,063-2,,505,,,,
50,Two Garage Door Kits,065-1,,371,,,,
51,Basic Building Set,066-1,,366,,,,
52,Block Box,071-1,,505,,,,
53,Pre-School Set,074-1,,505,,,,
54,Disney Princess: Enchanted Treasury,0744023726-1,,497,,,,
55,LEGO Minifigure: A Visual History New Edition,0744023734-1,,497,,,,
56,100 Ways to Rebuild the World,0744024471-1,,497,,,,
57,Pre-School Set,075-1,,505,,,,
58,The Ultimate LEGO Book,0751359483-1,,497,,,,
59,Atlantis: Brickmaster,0756668530-1,,497,,,,
60,Pirates: Brickmaster,0756672805-1,,497,,,,
61,Ninjago Brickmaster,0756682762-1,,497,,,,
62,Harry Potter Characters of the Magical World,0756692571-1,,497,,,,
63,Ninjago: Character Encyclopedia,0756698126-1,,497,,,,
64,Pre-School Set,077-1,,505,,,,
65,Roadway Base Plate,078-1,,371,,,,
66,Basic Building Set with Train,080-1,,366,,,,
67,Police Station,080-3,,505,,,,
68,Legoville,082-1,,505,,,,
69,Tub Boat,086-1,,632,,,,
70,Super Set,088-1,,469,,,,
71,Guarded Inn,10000-1,,199,,,,
72,Mosaic Set,1000-1,,516,,,,
73,Metroliner,10001-1,,233,,,,
74,Railroad Club Car,10002-1,,233,,,,
75,1 x 2 Sand Red Bricks,10003-1,,254,,,,
76,2 x 2 Sand Red Bricks,10004-1,,254,,,,
77,2 x 4 Sand Red Bricks,10005-1,,254,,,,
